id,name,race,type,frameType,tcg_date
69023354,Air Armor Ninja,Warrior,Effect Monster,effect,2012-01-14
98864751,Air Cracking Storm,Equip,Spell Card,spell,2017-08-03
8353769,Air Eater,Fiend,Normal Monster,normal,
18036057,Airknight Parshath,Fairy,Effect Monster,effect,2003-06-06
84747429,Airorca,Sea Serpent,Effect Monster,effect,2011-08-06
48202661,Aitsu,Fairy,Normal Monster,normal,2003-10-10
35877582,"Aiwass, the Magistus Spell Spirit",Fiend,Fusion Monster,fusion,2020-12-03
63378869,Aiza the Dragoness of Deranged Devotion,Dragon,Effect Monster,effect,2024-04-25
38035986,Akakieisu,Spellcaster,Normal Monster,normal,
28776350,Akashic Magician,Spellcaster,Link Monster,link,2017-10-19
36904469,Akihiron,Aqua,Normal Monster,normal,
38837163,"Akz, the Pumer",Beast-Warrior,Effect Monster,effect,2010-05-07
25795273,Al-Lumi'raj,Wyrm,Tuner Monster,effect,2016-01-14
3410461,Alba-Lenatus the Abyss Dragon,Dragon,Fusion Monster,fusion,2022-05-19
37683547,Albaz the Ashen,Dragon,Effect Monster,effect,2022-08-04
87746184,Albion the Branded Dragon,Dragon,Fusion Monster,fusion,2021-06-03
38811586,Albion the Sanctifire Dragon,Dragon,Fusion Monster,fusion,2023-05-04
25451383,Albion the Shrouded Dragon,Dragon,Effect Monster,effect,2021-08-12
65301952,Alchemic Magician,Spellcaster,XYZ Monster,xyz,2012-08-18
78121572,Alchemist of Black Spells,Spellcaster,Effect Monster,effect,2010-02-12
65384019,Alchemy Cycle,Normal,Trap Card,trap,2008-01-26
17573739,"Alector, Sovereign of Birds",Winged Beast,Effect Monster,effect,2010-06-02
98787535,"Aleirtt, the Ogdoadic Dark",Reptile,Effect Monster,effect,2021-04-29
86120752,Aleister the Invoker,Spellcaster,Effect Monster,effect,2017-02-23
97973962,Aleister the Invoker of Madness,Spellcaster,Link Monster,link,2018-08-16
26372118,ALERT!,Quick-Play,Spell Card,spell,2023-01-19
43096270,Alexandrite Dragon,Dragon,Normal Monster,normal,2011-11-05
45154513,Alghoul Mazera,Zombie,Effect Monster,effect,2022-05-19
14504454,"Alice, Lady of Lament",Fiend,Effect Monster,effect,2022-02-10
47728740,"Alich, Malebranche of the Burning Abyss",Fiend,Effect Monster,effect,2014-11-06
652362,Alien Ammonite,Reptile,Tuner Monster,effect,2009-02-28
17490535,Alien Brain,Normal,Trap Card,trap,2010-02-12
15475415,Alien Dog,Reptile,Effect Monster,effect,2009-05-02
62437709,Alien Grey,Reptile,Flip Effect Monster,effect,2006-08-16
62315111,Alien Hunter,Reptile,Effect Monster,effect,2006-08-16
38468214,Alien Hypno,Reptile,Gemini Monster,effect,2007-11-14
76573247,Alien Infiltrator,Reptile,Effect Monster,effect,2006-11-15
64160836,Alien Kid,Reptile,Effect Monster,effect,2009-02-28
99532708,Alien Mars,Reptile,Effect Monster,effect,2006-11-15
24104865,Alien Mother,Reptile,Effect Monster,effect,2006-08-16
63253763,Alien Overlord,Reptile,Effect Monster,effect,2009-02-28
58012107,Alien Psychic,Reptile,Effect Monster,effect,2007-02-28
97127906,Alien Shocktrooper,Reptile,Normal Monster,normal,2007-08-15
74974229,Alien Shocktrooper M-Frame,Reptile,Link Monster,link,2020-03-19
25920413,Alien Skull,Reptile,Effect Monster,effect,2006-08-16
58066722,Alien Stealthbuster,Reptile,Effect Monster,effect,2021-08-12
91070115,Alien Telepath,Reptile,Effect Monster,effect,2007-11-14
98719226,Alien Warrior,Reptile,Effect Monster,effect,2006-08-16
70924884,Alinsection,Insect,Normal Monster,normal,2019-08-01
70335319,All-Eyes Phantom Dragon,Dragon,Pendulum Effect Monster,effect_pendulum,2019-07-11
30834988,All-Out Attacks,Continuous,Trap Card,trap,2008-01-26
64428736,Alligator's Sword,Beast,Normal Monster,normal,2010-08-14
3366982,Alligator's Sword Dragon,Dragon,Fusion Monster,fusion,2010-08-14
68316358,Allure Dance,Continuous,Spell Card,spell,
1475311,Allure of Darkness,Normal,Spell Card,spell,2008-01-26
31322640,Allure Palace,Field,Spell Card,spell,
87257460,Allure Queen LV3,Spellcaster,Effect Monster,effect,2006-11-15
23756165,Allure Queen LV5,Spellcaster,Effect Monster,effect,2006-11-15
50140163,Allure Queen LV7,Spellcaster,Effect Monster,effect,2006-11-15
92881099,Alluring Mirror Split,Continuous,Spell Card,spell,2019-01-10
3544583,Allvain the Essence of Vanity,Fairy,Fusion Monster,fusion,2021-08-12
40155554,Ally Mind,Machine,Normal Tuner Monster,normal,2010-05-25
26593852,Ally of Justice Catastor,Machine,Synchro Monster,synchro,2009-06-20
89386122,Ally of Justice Clausolas,Machine,Normal Monster,normal,2009-11-05
36629203,Ally of Justice Core Destroyer,Machine,Effect Monster,effect,2010-05-07
8822710,Ally of Justice Cosmic Gateway,Machine,Effect Monster,effect,2010-05-25
8233522,Ally of Justice Cycle Reader,Machine,Tuner Monster,effect,2010-09-25
45586855,Ally of Justice Cyclone Creator,Machine,Tuner Monster,effect,2010-08-07
9888196,Ally of Justice Decisive Armor,Machine,Synchro Monster,synchro,2010-09-25
45033006,Ally of Justice Enemy Catcher,Machine,Effect Monster,effect,2010-05-25
69461394,Ally of Justice Field Marshal,Machine,Synchro Monster,synchro,2010-05-25
25771826,Ally of Justice Garadholg,Machine,Effect Monster,effect,2009-11-05
19204398,Ally of Justice Light Gazer,Machine,Synchro Monster,synchro,2010-01-29
76650663,Ally of Justice Nullfier,Machine,Effect Monster,effect,2010-05-25
45450218,Ally of Justice Omni-Weapon,Machine,Effect Monster,effect,2010-09-25
72845813,Ally of Justice Quarantine,Machine,Effect Monster,effect,2010-09-25
55982698,Ally of Justice Reverse Break,Machine,Effect Monster,effect,2010-05-25
52265835,Ally of Justice Rudra,Machine,Effect Monster,effect,2009-11-05
3648368,Ally of Justice Searcher,Machine,Effect Monster,effect,2010-05-25
85876417,Ally of Justice Thousand Arms,Machine,Effect Monster,effect,2010-01-29
71438011,Ally of Justice Thunder Armor,Machine,Effect Monster,effect,2010-05-25
22371016,Ally of Justice Unknown Crusher,Machine,Effect Monster,effect,2010-01-29
82377606,Ally of Justice Unlimiter,Machine,Effect Monster,effect,2010-05-25
59482302,Ally Salvo,Machine,Effect Monster,effect,2010-01-29
92998610,Aloof Lupine,Beast,Effect Monster,effect,2019-01-31
77797992,"Alpacaribou, Mystical Beast of the Forest",Beast,Effect Monster,effect,2014-01-24
73355951,Alpha Summon,Normal,Trap Card,trap,2023-10-19
42023223,Alpha The Electromagnet Warrior,Rock,Effect Monster,effect,2016-10-20
99785935,Alpha The Magnet Warrior,Rock,Normal Monster,normal,2003-02-16
73304257,"Alpha, the Master of Beasts",Beast,Effect Monster,effect,2020-11-05
10406322,"Alsei, the Sylvan High Protector",Plant,XYZ Monster,xyz,2014-01-24
21070956,Altar for Tribute,Normal,Trap Card,trap,2003-12-01
61470213,Altergeist Adminia,Spellcaster,Link Monster,link,2023-07-27
80143954,Altergeist Camouflage,Normal,Trap Card,trap,2017-10-19
21187631,Altergeist Dragvirion,Spellcaster,Synchro Monster,synchro,2019-05-02
86885905,Altergeist Emulatelf,Continuous,Trap Card,trap,2018-05-03
98753320,Altergeist Failover,Continuous,Trap Card,trap,2022-05-05
12977245,Altergeist Fifinellag,Spellcaster,Tuner Monster,effect,2019-05-02
85673903,Altergeist Fijialert,Spellcaster,Effect Monster,effect,2021-12-02
2547033,Altergeist Haunted Rock,Continuous,Trap Card,trap,2019-05-02
1508649,Altergeist Hexstia,Spellcaster,Link Monster,link,2018-02-01
76685519,Altergeist Kidolga,Spellcaster,Link Monster,link,2018-05-03
52927340,Altergeist Kunquery,Spellcaster,Effect Monster,effect,2017-10-19
27132400,Altergeist Malwisp,Spellcaster,Tuner Monster,effect,2023-07-27
35146019,Altergeist Manifestation,Normal,Trap Card,trap,2018-02-01
53143898,Altergeist Marionetter,Spellcaster,Effect Monster,effect,2017-10-19
25533642,Altergeist Meluseek,Spellcaster,Effect Monster,effect,2017-10-19
23790299,Altergeist Memorygant,Spellcaster,Link Monster,link,2021-12-02
42790071,Altergeist Multifaker,Spellcaster,Effect Monster,effect,2018-05-03
54126514,Altergeist Peritrator,Spellcaster,Effect Monster,effect,2023-07-27
57769391,Altergeist Pixiel,Spellcaster,Effect Monster,effect,2018-05-03
59185998,Altergeist Pookuery,Spellcaster,Effect Monster,effect,2021-12-02
93503294,Altergeist Primebanshee,Spellcaster,Link Monster,link,2017-10-19
27541563,Altergeist Protocol,Continuous,Trap Card,trap,2017-10-19
22024279,Altergeist Revitalization,Normal,Trap Card,trap,2023-07-27
89538537,Altergeist Silquitous,Spellcaster,Effect Monster,effect,2017-10-19
27632240,Altitude Knight,Warrior,Effect Monster,effect,2013-05-17
62962630,Aluber the Jester of Despia,Fairy,Effect Monster,effect,2021-08-12
27024795,Alviss of the Nordic Alfar,Spellcaster,Effect Monster,effect,2018-10-18
2139640,Amabie,Fairy,Effect Monster,effect,2021-05-15
32181268,Amano-Iwato,Rock,Spirit Monster,effect,2017-10-19
43739056,Amanokujaki,Fiend,Tuner Monster,effect,2021-02-04
18988391,Amarylease,Plant,Effect Monster,effect,2013-01-25
20073910,Amaterasu,Fairy,Spirit Monster,effect,2016-08-04
662855,Amatsu-Okami of the Divine Peaks,Dragon,Link Monster,link,2018-08-05
66984907,Amaze Attraction Cyclo-Coaster,Normal,Trap Card,trap,2021-06-03
92650018,Amaze Attraction Horror House,Normal,Trap Card,trap,2021-06-03
29867611,Amaze Attraction Majestic Merry-Go-Round,Normal,Trap Card,trap,2021-06-03
55262310,Amaze Attraction Rapid Racing,Normal,Trap Card,trap,2021-06-03
36591747,Amaze Attraction Thrill Train,Normal,Trap Card,trap,2022-08-04
97182396,Amaze Attraction Viking Vortex,Normal,Trap Card,trap,2021-08-12
93473606,Amaze Attraction Wonder Wheel,Normal,Trap Card,trap,2021-06-03
31600845,Amazement Abomination Arlekino,Psychic,Effect Monster,effect,2023-05-04
94821366,Amazement Administrator Arlekino,Psychic,Effect Monster,effect,2021-06-03
30829071,Amazement Ambassador Bufo,Beast,Effect Monster,effect,2021-06-03
22662014,Amazement Assistant Delia,Machine,Effect Monster,effect,2021-08-12
67314110,Amazement Attendant Comica,Machine,Effect Monster,effect,2021-06-03
20989253,Amazement Family Faces,Normal,Trap Card,trap,2021-06-03
33773528,Amazement Precious Park,Field,Spell Card,spell,2021-06-03
6374519,Amazement Special Show,Quick-Play,Spell Card,spell,2021-06-03
37803970,Amazing Pendulum,Normal,Spell Card,spell,2016-11-03
70389815,Amazing Time Ticket,Quick-Play,Spell Card,spell,2021-05-29
17968114,Amazon of the Seas,Fish,Normal Monster,normal,2008-01-08
91869203,Amazoness Archer,Warrior,Effect Monster,effect,2003-03-01
67987611,Amazoness Archers,Normal,Trap Card,trap,2003-10-10
23965033,Amazoness Augusta,Warrior,Fusion Monster,fusion,2022-10-20
10928224,Amazoness Baby Tiger,Beast,Effect Monster,effect,2017-09-07
73574678,Amazoness Blowpiper,Warrior,Effect Monster,effect,2003-10-10
57312333,Amazoness Call,Quick-Play,Spell Card,spell,2017-09-07
29654737,Amazoness Chain Master,Warrior,Effect Monster,effect,2005-05-28
4591250,Amazoness Empress,Warrior,Fusion Monster,fusion,2017-10-19
55821894,Amazoness Fighter,Warrior,Effect Monster,effect,2003-10-10
36100154,Amazoness Fighting Spirit,Continuous,Spell Card,spell,2010-08-07
97692972,Amazoness Golden Whip Master,Warrior,Pendulum Effect Monster,effect_pendulum,2022-10-20
25396150,Amazoness Hall,Continuous,Trap Card,trap,2022-11-17
79965360,Amazoness Heirloom,Equip,Spell Card,spell,2010-08-07
62480168,Amazoness Hot Spring,Continuous,Trap Card,trap,2022-11-17
83407038,Amazoness Onslaught,Continuous,Trap Card,trap,2017-09-07
47480070,Amazoness Paladin,Warrior,Effect Monster,effect,2003-10-10
68507541,Amazoness Pet Liger,Beast,Fusion Monster,fusion,2017-10-19
59353647,Amazoness Pet Liger King,Beast,Fusion Monster,fusion,2022-10-20
84539520,Amazoness Princess,Warrior,Effect Monster,effect,2017-09-07
15951532,Amazoness Queen,Warrior,Effect Monster,effect,2010-08-07
53162898,Amazoness Sage,Warrior,Effect Monster,effect,2010-08-07
71209500,Amazoness Scouts,Warrior,Effect Monster,effect,2010-08-07
86758746,Amazoness Secret Arts,Quick-Play,Spell Card,spell,2022-10-20
6459419,Amazoness Shamanism,Normal,Trap Card,trap,2010-08-07
24087580,Amazoness Silver Sword Master,Warrior,Pendulum Effect Monster,effect_pendulum,2022-10-20
81325903,Amazoness Spellcaster,Normal,Spell Card,spell,2003-10-10
97870394,Amazoness Spiritualist,Warrior,Effect Monster,effect,2022-10-20
31102447,Amazoness Spy,Warrior,Effect Monster,effect,2017-10-19
94004268,Amazoness Swords Woman,Warrior,Effect Monster,effect,2003-10-10
10979723,Amazoness Tiger,Beast,Effect Monster,effect,2003-10-10
89567993,Amazoness Trainee,Warrior,Effect Monster,effect,2010-08-07
712559,Amazoness Village,Field,Spell Card,spell,2010-08-07
50486289,Amazoness War Chief,Warrior,Effect Monster,effect,2022-10-20
22082163,Amazoness Willpower,Continuous,Trap Card,trap,2010-08-07
41224658,Ambitious Gofer,Fiend,Effect Monster,effect,2010-08-07
98927491,Ambulance Rescueroid,Machine,Fusion Monster,fusion,2006-08-16
36378213,Ambulanceroid,Machine,Effect Monster,effect,2006-08-16
77972406,Ambush Fangs,Normal,Trap Card,trap,2007-08-15
95174353,Ameba,Aqua,Effect Monster,effect,2002-09-16
40213117,Amores of Prophecy,Spellcaster,Effect Monster,effect,2012-08-18
98287529,"Amorphactor Pain, the Imagination Dracoverlord",Dragon,Ritual Effect Monster,ritual,2016-05-05
33300669,Amorphage Envy,Dragon,Pendulum Effect Monster,effect_pendulum,2016-05-05
34522216,Amorphage Gluttony,Dragon,Pendulum Effect Monster,effect_pendulum,2016-05-05
69072185,Amorphage Goliath,Dragon,Pendulum Effect Monster,effect_pendulum,2016-05-05
7305060,Amorphage Greed,Dragon,Pendulum Effect Monster,effect_pendulum,2016-05-05
50554729,Amorphage Infection,Continuous,Spell Card,spell,2016-05-05
70917315,Amorphage Lechery,Dragon,Pendulum Effect Monster,effect_pendulum,2016-05-05
47598941,Amorphage Lysis,Continuous,Trap Card,trap,2016-05-05
6283472,Amorphage Pride,Dragon,Pendulum Effect Monster,effect_pendulum,2016-05-05
32687071,Amorphage Sloth,Dragon,Pendulum Effect Monster,effect_pendulum,2016-05-05
79794767,Amorphage Wrath,Dragon,Pendulum Effect Monster,effect_pendulum,2016-05-05
23160024,Amorphous Persona,Field,Spell Card,spell,2016-05-05
